,Estimate,SE,n,group
Bangladesh,0.4156395354714487,0.0036347858820905514,18385.0,Weighted
Bangladesh,0.17432689692684256,0.0027981195306268033,18385.0,Unweighted
Nigeria,0.46304180669519546,0.003653694219123078,18626.0,Weighted
Nigeria,0.18501020079458824,0.0028452850568699613,18626.0,Unweighted
India,0.43057629324305147,0.003891521238583641,16191.0,Weighted
India,0.1922673089988265,0.0030971563487131345,16191.0,Unweighted
Pakistan,0.44270778905681496,0.0037034682745619952,17989.0,Weighted
Pakistan,0.19923286452832295,0.0029781198449309815,17989.0,Unweighted
Turkey,0.49736247124983785,0.003434857554877501,21190.0,Weighted
Turkey,0.2615856536101934,0.0030192688986585767,21190.0,Unweighted
Egypt,0.4779852818149488,0.003505304509974735,20308.0,Weighted
Egypt,0.2885562339964546,0.0031795278643541986,20308.0,Unweighted
Indonesia,0.47184597832683817,0.0037730013655504755,17507.0,Weighted
Indonesia,0.3153595704575314,0.003511889288688734,17507.0,Unweighted
Japan,0.5072273468651599,0.003116103843040397,25742.0,Weighted
Japan,0.33905679434387387,0.0029505677400234382,25742.0,Unweighted
Vietnam,0.4737315749981958,0.003783081937586592,17421.0,Weighted
Vietnam,0.3950978703863154,0.0037039987018911862,17421.0,Unweighted
Malaysia,0.4808910522452098,0.003450930772975815,20963.0,Weighted
Malaysia,0.4184038544101517,0.0034071577355312727,20963.0,Unweighted
Thailand,0.5031826767644815,0.003603302492524589,19255.0,Weighted
Thailand,0.4368735393404314,0.0035745415877149497,19255.0,Unweighted
Romania,0.5122380104509089,0.00331157368342146,22784.0,Weighted
Romania,0.5084708567415726,0.0033120906476085234,22784.0,Unweighted
Mexico,0.5103238928895875,0.003323477262662573,22625.0,Weighted
Mexico,0.5173922651933706,0.003322174259440427,22625.0,Unweighted
Colombia,0.5157755481050863,0.00354701102249377,19852.0,Weighted
Colombia,0.5193431392303043,0.0035461212214657855,19852.0,Unweighted
Philippines,0.5004250962017287,0.003376296899409551,21932.0,Weighted
Philippines,0.5215666605872694,0.0033731558841550136,21932.0,Unweighted
Germany,0.5025413345618529,0.0032468482172171055,23715.0,Weighted
Germany,0.5320261437908502,0.003240222810356201,23715.0,Unweighted
Italy,0.5153742257363308,0.0032002610991542545,24388.0,Weighted
Italy,0.5320649499753974,0.0031951843800217,24388.0,Unweighted
Poland,0.5091467236638536,0.0033323312550869186,22507.0,Weighted
Poland,0.53476696138979,0.0033248220119262172,22507.0,Unweighted
France,0.5226546040557404,0.003320038374415827,22635.0,Weighted
France,0.5702231058095861,0.003290510503146883,22635.0,Unweighted
United Kingdom,0.504718830422996,0.0031521915891816153,25159.0,Weighted
United Kingdom,0.6020509559203471,0.003085974276706649,25159.0,Unweighted
Brazil,0.5125187276884715,0.0035501699788502874,19824.0,Weighted
Brazil,0.6031073446327689,0.0034749547148169757,19824.0,Unweighted
Argentina,0.5183541743870473,0.0034448050859328546,21040.0,Weighted
Argentina,0.6211026615969578,0.003344490183834924,21040.0,Unweighted
United States,0.5179965663771701,0.003211906380909725,24203.0,Weighted
United States,0.6363673924720075,0.003092144215513323,24203.0,Unweighted
